iter	Passed	Remaining
398	2340	3524
399	2342	3514
400	2345	3504
401	2348	3494
402	2351	3483
403	2354	3473
404	2356	3462
405	2359	3451
406	2362	3441
407	2364	3431
408	2367	3420
409	2369	3409
410	2372	3399
411	2374	3388
412	2377	3378
413	2379	3368
414	2382	3358
415	2384	3347
416	2387	3337
417	2390	3327
418	2392	3317
419	2395	3308
420	2398	3298
421	2400	3288
422	2403	3278
423	2405	3268
424	2408	3258
425	2411	3248
426	2413	3239
427	2416	3229
428	2419	3219
429	2422	3210
430	2424	3200
431	2427	3191
432	2429	3181
433	2432	3172
434	2435	3162
435	2437	3153
436	2440	3144
437	2443	3134
438	2445	3125
439	2448	3116
440	2451	3107
441	2454	3098
442	2456	3088
443	2459	3079
444	2461	3070
445	2464	3061
446	2466	3051
447	2469	3042
448	2471	3033
449	2474	3024
450	2477	3016
451	2480	3007
452	2483	2998
453	2485	2989
454	2488	2980
455	2490	2971
456	2493	2962
457	2496	2953
458	2498	2945
459	2501	2936
460	2503	2927
461	2506	2918
462	2508	2909
463	2511	2901
464	2514	2892
465	2516	2883
466	2519	2875
467	2521	2866
468	2524	2858
469	2527	2849
470	2529	2841
471	2532	2832
472	2534	2824
473	2537	2815
474	2540	2807
475	2543	2799
476	2545	2791
477	2548	2782
478	2550	2774
479	2553	2765
480	2555	2757
481	2559	2750
482	2561	2742
483	2564	2733
484	2566	2725
485	2569	2717
486	2572	2709
487	2574	2701
488	2577	2693
489	2580	2685
490	2582	2677
491	2585	2669
492	2588	2662
493	2591	2654
494	2594	2646
495	2596	2638
496	2599	2630
497	2601	2622
498	2604	2615
499	2607	2607
500	2610	2600
501	2613	2592
502	2615	2584
503	2618	2577
504	2621	2569
505	2624	2562
506	2627	2554
507	2630	2547
508	2633	2539
509	2636	2532
510	2639	2525
511	2642	2518
512	2644	2510
513	2647	2503
514	2650	2495
515	2653	2488
516	2655	2481
517	2658	2473
518	2660	2466
519	2663	2458
520	2666	2451
521	2668	2443
522	2671	2436
523	2674	2429
524	2677	2422
525	2680	2415
526	2683	2408
527	2686	2401
528	2688	2393
529	2691	2386
530	2693	2379
531	2695	2371
532	2698	2364
533	2700	2357
534	2703	2349
535	2706	2342
536	2708	2335
537	2711	2328
538	2713	2321
539	2716	2313
540	2718	2306
541	2721	2299
542	2724	2292
543	2727	2286
544	2729	2279
545	2733	2272
546	2736	2265
547	2739	2259
548	2741	2252
549	2744	2245
550	2747	2238
551	2750	2232
552	2753	2225
553	2756	2219
554	2759	2212
555	2762	2206
556	2765	2199
557	2768	2193
558	2771	2186
559	2774	2180
560	2777	2173
561	2780	2166
562	2783	2160
563	2786	2154
564	2789	2147
565	2792	2141
566	2795	2134
567	2798	2128
568	2801	2122
569	2804	2115
570	2807	2109
571	2810	2102
572	2812	2096
573	2816	2090
574	2819	2083
575	2822	2077
576	2825	2071
577	2828	2064
578	2831	2058
579	2834	2052
580	2837	2046
581	2839	2039
582	2842	2033
583	2845	2027
584	2849	2021
585	2851	2014
586	2854	2008
587	2857	2002
588	2860	1995
589	2863	1989
590	2866	1983
591	2868	1977
592	2871	1970
593	2874	1964
594	2877	1958
595	2880	1952
596	2883	1946
597	2885	1939
598	2888	1933
599	2891	1927
600	2894	1921
601	2897	1915
602	2900	1909
603	2903	1903
604	2906	1897
605	2908	1891
606	2911	1885
607	2914	1879
608	2917	1873
609	2919	1866
610	2922	1860
611	2925	1854
612	2927	1848
613	2930	1842
614	2934	1836
615	2937	1830
616	2939	1824
617	2943	1819
618	2946	1813
619	2949	1807
620	2952	1801
621	2954	1795
622	2958	1790
623	2961	1784
624	2963	1778
625	2967	1772
626	2969	1766
627	2972	1760
628	2975	1755
629	2978	1749
630	2980	1743
631	2983	1737
632	2985	1731
633	2988	1725
634	2991	1719
635	2994	1713
636	2996	1707
637	2999	1701
638	3002	1695
639	3004	1690
640	3007	1684
641	3010	1678
642	3012	1672
643	3015	1666
644	3018	1661
645	3020	1655
646	3023	1649
647	3026	1644
648	3029	1638
649	3031	1632
650	3033	1626
651	3036	1620
652	3039	1615
653	3042	1609
654	3044	1603
655	3046	1597
656	3049	1592
657	3052	1586
658	3054	1580
659	3057	1575
660	3060	1569
661	3062	1563
662	3065	1558
663	3067	1552
